3482 [main] INFO  c.example.task18.Task18Application – Starting Task18Application using Java 11.0.14 on HP840 with PID 8568 (C:\Users\Maleshen\IdeaProjects\JavaPatternMirea\task18\target\classes started by Maleshen in C:\Users\Maleshen\IdeaProjects\JavaPatternMirea)
3497 [main] INFO  c.example.task18.Task18Application – No active profile set, falling back to 1 default profile: "default"
5137 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
5277 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 120 ms. Found 2 JPA repository interfaces.
6376 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port(s): 8084 (http)
6392 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-8084"]
6392 [main] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
6392 [main] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/9.0.58]
6548 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
6548 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 2863 ms
6830 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
7205 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
7267 [main] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
7345 [main] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.6.5.Final
7653 [main] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
7856 [main] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
8871 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8887 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
9465 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
9997 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-8084"]
10028 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port(s): 8084 (http) with context path ''
10043 [main] INFO  c.example.task18.Task18Application – Started Task18Application in 9.184 seconds (JVM running for 14.532)
36865 [http-nio-8084-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring DispatcherServlet 'dispatcherServlet'
36865 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet – Initializing Servlet 'dispatcherServlet'
36865 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet – Completed initialization in 0 ms
36961 [http-nio-8084-exec-1] INFO  com.example.task18.PhoneService – Read all phones
306316 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Closing JPA EntityManagerFactory for persistence unit 'default'
306316 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown initiated...
306348 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown completed.
